id,media_type,outlet
401287933,web,BIG12|ESPN+
401282119,tv,SECN
401287931,tv,ABC
401282801,tv,ESPN2
401282245,web,ESPN+
401282675,web,ESPN3
401287930,tv,ESPNU
401309628,web,ESPN+
401282676,tv,ACCN
401282241,web,ESPN+
401282243,web,ESPN+
401309630,web,ESPN+
401282116,tv,ESPN
401282118,tv,SECN
401282814,tv,ABC
401282672,tv,ACCN
401282669,tv,ESPN2
401309883,tv,FS1
401282111,radio,ESPNRM
401301032,tv,ESPN2
401282670,tv,ESPN
401301034,tv,ESPN2
401309886,tv,ESPNU
401309887,tv,ESPN
401282777,tv,FOX
401282795,tv,BTN
401310732,tv,FS2
401287932,tv,FS1
401309882,tv,PAC12
401309885,tv,FS1
401309884,tv,FOX
401309582,tv,ESPN2
401282720,tv,ESPN2
401309633,web,ESPN+
401309634,web,ESPN+
401282123,tv,ESPN2
401282248,web,ESPN3
401309579,tv,CBSSN
401308839,tv,ESPNU
401309580,tv,ESPN2
401309581,tv,ESPNU
401282679,tv,ACCN
401282124,tv,SECN
401282678,tv,ACCN
401301039,tv,ESPNU
401282681,web,ESPN3
401282252,web,ESPN+
401301035,web,ESPN+
401309635,web,ESPN+
401301037,tv,ESPN2
401282247,web,ESPN+
401282121,tv,SECN
401301036,tv,ESPNU
401282125,tv,SECN
401301038,tv,ESPNU
401282253,tv,ESPN2
401282144,web,ESPN+
401282144,web,SECN+
401282140,web,ESPN+
401282140,web,SECN+
401282763,radio,ESPNRM
401282726,tv,BTN
401282129,web,ESPN+
401282129,web,SECN+
401282136,web,ESPN+
401282136,web,SECN+
401282787,tv,ABC
401282768,tv,FS1
401309890,tv,ABC
401282122,tv,ESPN
401282799,tv,FOX
401282682,tv,ABC
401287935,tv,FS1
401309889,tv,PAC12
401287937,tv,ESPN
401287936,tv,FOX
401282120,tv,ESPN
401309891,tv,PAC12
401282727,tv,FOX
401282680,tv,ACCN
401310740,tv,FS2
401309892,tv,ESPN
401282126,tv,CBS
401287934,tv,FS1
401282806,tv,ESPN2
401282127,tv,SECN
401301041,tv,ESPNU
401282684,tv,ACCN
401301042,web,ESPN+
401309639,web,ESPN+
401309640,web,ESPN+
401282260,web,ESPN+
401282255,web,ESPN3
401282256,web,ESPN+
401282689,tv,ACCN
401282132,tv,SECN
401282258,web,ESPN+
401309638,web,ESPN+
401282131,tv,ESPN
401282130,tv,SECN
401309895,tv,ESPN
401282128,tv,ESPN
401282687,web,ESPN3
401301043,web,ESPN+
401282259,web,ESPN+
401282686,web,ESPN3
401309641,web,ESPN+
401301044,tv,ESPNU
401282134,tv,ESPN2
401309890,radio,ESPNRM
401287934,radio,ESPNRM
401309583,tv,ESPN2
401309587,tv,ESPN2
401309586,tv,ESPNU
401309584,tv,CBSSN
401308840,tv,ESPNU
401309585,tv,CBSSN
401282780,tv,ABC
401282812,tv,ABC
401282685,tv,ESPN
401287942,tv,ESPN2
401282771,tv,FOX
401282688,tv,ABC
401287941,tv,ESPNU
401287938,tv,FOX
401309896,tv,PAC12
401282133,tv,CBS
401309894,tv,PAC12
401282690,tv,ACCN
401287940,tv,FOX
401309898,tv,PAC12
401287939,tv,FS1
401309897,tv,FS1
401310744,tv,FS1
401282786,tv,ABC
401282693,tv,ESPN
401282137,tv,SECN
401301048,web,ESPN+
401309644,web,ESPN+
401309643,web,ESPN3
401282265,web,ESPN+
401282141,tv,SECN
401286298,tv,ESPNU
401301049,web,ESPN+
401287943,tv,FS1
401282142,tv,ESPN
401282262,web,ESPN3
401282139,tv,SECN
401282138,tv,ESPN2
401309902,tv,ESPN
401282762,tv,BTN
401282692,tv,ACCN
401282696,web,ESPN3
401287947,tv,ESPN2
401309592,web,ESPN+
401282770,tv,BTN
401309642,web,ESPN+
401309645,web,ESPN+
401282266,web,ESPN+
401286293,web,ESPN+
401287945,web,BIG12|ESPN+
401282131,radio,ESPNRM
401282688,radio,ESPNRM
401309589,web,ESPN+
401309588,tv,ESPN2
401308841,tv,ESPNU
401309590,tv,ESPN2
401309591,tv,ESPNU
401309593,web,ESPN+
401309594,tv,ESPNU
401287944,tv,FOX
401282135,tv,CBS
401301046,tv,ESPN
401282803,tv,ABC
401282698,tv,ESPN2
401282695,tv,ACCN
401309904,tv,FOX
401309901,tv,ABC
401282694,tv,ACCN
401310748,tv,FS1
401282808,tv,BTN
401282721,tv,FS1
401309903,tv,PAC12
401282732,tv,BTN
401309900,tv,PAC12
401287946,tv,FOX
401309906,tv,FOX
401309595,tv,ESPNU
401301051,tv,ABC
401301050,tv,ESPN
401282699,tv,ESPN
401282148,tv,ABC
401282147,tv,ESPN
401286299,web,ESPN+
401301054,tv,ESPNU
401308842,web,ESPN+
401309597,web,ESPN+
401282701,web,ESPN3
401282271,web,ESPN+
401282273,web,ESPN+
401282268,web,ESPN+
401309647,web,ESPN+
401309649,web,ESPN+
401309646,web,ESPN+
401282269,web,ESPN3
401282153,tv,SECN
401301055,tv,ESPN2
401309650,tv,ESPNU
401282150,tv,ESPN
401287951,tv,ABC
401282152,tv,SECN
401301053,tv,ESPNU
401309910,tv,ESPN
401309904,radio,ESPNRM
401282700,tv,ESPN2
401309908,tv,ESPN
401282785,tv,ABC
401282703,tv,ACCN
401282702,tv,ACCN
401282149,tv,ESPN2
401331161,tv,ESPN
401310757,tv,FS1
401309596,tv,CBSSN
401287949,tv,FS1
401309905,tv,FS1
401287948,tv,FS1
401282146,tv,CBS
401282722,tv,BTN
401282753,tv,FS1
401309909,tv,PAC12
401287950,tv,FS1
401309907,tv,FS1
401282794,tv,FOX
401282711,tv,FOX
401282703,radio,ESPNRM
401282150,radio,ESPNRM
401282154,tv,CBS
401310676,tv,FOX
401331162,tv,ABC
401331159,tv,ABC
401287953,tv,ABC
401331160,tv,ESPN
401331447,tv,FOX
401331163,tv,ABC
401282156,tv,CBSSN
401387250,tv,FS1
401287953,radio,ESPNRM
401331163,radio,ESPNRM
401328337,web,ESPN+
401327539,tv,ESPN
401328388,web,ESPN+
401328458,web,ESPN+
401328404,web,ESPN+
401328420,web,ESPN+
401328011,web,ESPN+
401328233,web,ESPN+
401328566,web,ESPN+
401328150,web,ESPN3
401328057,web,ESPN+
401328159,web,ESPN+
401328230,web,ESPN+
401327988,web,ESPN+
401328144,web,ESPN3
401328327,web,ESPN3
401328678,web,ESPN+
401328657,tv,ESPN2
401328426,tv,NFL NET
401328226,web,ESPN+
401328075,web,ESPN+
401328119,web,ESPN+
